date,equity,benchmark_equity,drawdown,state
1995-01-03,10000.0,10000.0,0.0,ON
1995-01-04,10143.33,10047.78,0.0,ON
1995-01-05,10143.33,10047.78,0.0,ON
1995-01-06,10174.34,10058.02,0.0,ON
1995-01-09,10205.41,10068.25,0.0,ON
1995-01-10,10236.55,10078.49,0.0,ON
1995-01-11,10257.37,10085.33,0.0,ON
1995-01-12,10267.77,10088.74,0.0,ON
1995-01-13,10632.48,10208.19,0.0,ON
1995-01-16,10824.42,10269.61,0.0,ON
1995-01-17,10835.23,10273.03,0.0,ON
1995-01-18,10802.83,10262.79,-0.003,ON
1995-01-19,10619.62,10204.78,-0.0199,ON
1995-01-20,10502.44,10167.24,-0.0307,ON
1995-01-23,10597.6,10197.95,-0.0219,ON
1995-01-24,10640.15,10211.6,-0.018,ON
1995-01-25,10725.53,10238.91,-0.0101,ON
1995-01-26,10757.69,10249.14,-0.0072,ON
1995-01-27,10886.65,10290.1,0.0,ON
1995-01-30,10745.83,10245.73,-0.0129,ON
1995-01-31,10874.69,10286.68,-0.0011,ON
1995-02-01,10863.86,10283.27,-0.0021,ON
1995-02-02,11058.58,10344.71,0.0,ON
1995-02-03,11529.24,10491.47,0.0,ON
1995-02-06,11675.51,10535.84,0.0,ON
1995-02-07,11720.9,10549.49,0.0,ON
1995-02-08,11720.9,10549.49,0.0,ON
1995-02-09,11720.9,10549.49,0.0,ON
1995-02-10,11766.38,10563.13,0.0,ON
1995-02-13,11777.8,10566.55,0.0,ON
1995-02-14,11823.45,10580.2,0.0,ON
1995-02-15,12017.95,10638.22,0.0,ON
1995-02-16,11971.7,10624.57,-0.0038,ON
1995-02-17,11833.26,10583.62,-0.0154,ON
1995-02-21,11821.8,10580.2,-0.0163,ON
1995-02-22,12084.94,10658.7,0.0,ON
1995-02-23,12142.97,10675.76,0.0,ON
1995-02-24,12236.15,10703.07,0.0,ON
1995-02-27,11943.51,10617.75,-0.0239,ON
1995-02-28,12242.97,10706.48,0.0,ON
1995-03-01,12008.78,10638.22,-0.0191,ON
1995-03-02,12055.02,10651.87,-0.0154,ON
1995-03-03,12066.62,10655.29,-0.0144,ON
1995-03-06,12089.82,10662.12,-0.0125,ON
1995-03-07,11811.16,10580.2,-0.0353,ON
1995-03-08,11902.61,10607.51,-0.0278,ON
1995-03-09,11891.12,10604.09,-0.0287,ON
1995-03-10,12419.29,10761.09,0.0,ON
1995-03-13,12383.83,10750.85,-0.0029,ON
1995-03-14,12655.09,10829.35,0.0,ON
1995-03-15,12583.28,10808.87,-0.0057,ON
1995-03-16,12809.77,10873.72,0.0,ON
1995-03-17,12847.99,10884.53,0.0,ON
1995-03-20,12847.99,10884.53,0.0,ON
1995-03-21,12750.79,10857.08,-0.0076,ON
1995-03-22,12787.05,10867.38,-0.0047,ON
1995-03-23,12811.3,10874.24,-0.0029,ON
1995-03-24,13357.05,11028.66,0.0,ON
1995-03-27,13519.12,11073.26,0.0,ON
1995-03-28,13519.12,11073.26,0.0,ON
1995-03-29,13506.55,11069.83,-0.0009,ON
1995-03-30,13431.18,11049.24,-0.0065,ON
1995-03-31,13268.5,11004.63,-0.0185,ON
