date,type,equity,ath,drawdown,trigger,days_paused,trend_streak,sma200,price
1997-04-11,PAUSE,42847.43,59767.8,-0.2831,DD -28.3% <= -28%,,,,
1997-05-23,RESUME,42847.43,,,,30.0,30.0,45.25,51.56
1997-10-27,PAUSE,44917.38,65719.48,-0.3165,DD -31.7% <= -28%,,,,
1997-12-09,RESUME,44917.38,,,,30.0,30.0,54.09,60.09
1998-08-14,PAUSE,55496.1,78440.64,-0.2925,DD -29.3% <= -28%,,,,
1998-11-11,RESUME,55496.1,,,,62.0,10.0,66.92,69.73
1999-09-29,PAUSE,75425.05,106697.81,-0.2931,DD -29.3% <= -28%,,,,
1999-11-10,RESUME,75425.05,,,,30.0,10.0,82.61,86.54
2000-04-14,PAUSE,68385.66,100144.34,-0.3171,DD -31.7% <= -28%,,,,
2000-06-12,RESUME,68385.66,,,,39.0,10.0,88.24,91.49
2000-10-11,PAUSE,56695.32,79188.75,-0.284,DD -28.4% <= -28%,,,,
2002-03-15,RESUME,56695.32,,,,354.0,10.0,73.87,75.42
2002-05-06,PAUSE,41426.99,57862.2,-0.284,DD -28.4% <= -28%,,,,
2003-04-28,RESUME,41426.99,,,,246.0,10.0,57.62,60.36
2007-11-26,PAUSE,156173.85,217492.33,-0.2819,DD -28.2% <= -28%,,,,
2009-06-11,RESUME,156173.85,,,,388.0,10.0,66.95,70.03
2010-05-20,PAUSE,220954.87,328496.22,-0.3274,DD -32.7% <= -28%,,,,
2010-09-23,RESUME,220954.87,,,,87.0,10.0,84.31,85.61
2011-08-04,PAUSE,267825.48,395087.09,-0.3221,DD -32.2% <= -28%,,,,
2012-01-06,RESUME,267825.48,,,,107.0,10.0,97.39,99.75
2015-08-24,PAUSE,921666.19,1324104.28,-0.3039,DD -30.4% <= -28%,,,,
2015-11-04,RESUME,921666.19,,,,51.0,10.0,172.51,177.23
2016-01-15,PAUSE,655141.93,923013.86,-0.2902,DD -29.0% <= -28%,,,,
2016-03-24,RESUME,655141.93,,,,47.0,10.0,170.02,173.04
2018-02-08,PAUSE,1404403.93,1959803.94,-0.2834,DD -28.3% <= -28%,,,,
2018-03-23,RESUME,1404403.93,,,,30.0,30.0,226.8,228.66
2018-11-23,PAUSE,1473385.39,2056770.53,-0.2836,DD -28.4% <= -28%,,,,
2019-02-26,RESUME,1473385.39,,,,62.0,10.0,245.17,251.2
2020-02-27,PAUSE,1778921.61,2653061.1,-0.3295,DD -32.9% <= -28%,,,,
2020-06-08,RESUME,1778921.61,,,,70.0,10.0,275.1,297.91
2022-02-22,PAUSE,3967540.27,5546289.2,-0.2846,DD -28.5% <= -28%,,,,
2022-04-05,RESUME,3967540.27,,,,30.0,13.0,422.32,427.96
2022-05-09,PAUSE,2660446.62,3967540.27,-0.3294,DD -32.9% <= -28%,,,,
2023-02-02,RESUME,2660446.62,,,,185.0,10.0,376.35,400.64
2025-04-03,PAUSE,5531205.44,8346573.63,-0.3373,DD -33.7% <= -28%,,,,
2025-05-23,RESUME,5531205.44,,,,35.0,10.0,568.28,574.11
